Date,Open,High,Low,Close,Adj Close,Volume
2021-06-09,39.580002,39.650002,38.580002,38.720001,38.331440,134900
2021-06-10,38.540001,38.570000,37.820000,37.820000,37.440468,84600
2021-06-11,37.810001,38.790001,37.770000,38.240002,37.856255,117600
2021-06-14,38.270000,38.689999,37.700001,37.740002,37.361271,65600
2021-06-15,37.970001,38.549999,37.740002,38.209999,37.826550,61700
2021-06-16,37.959999,38.450001,37.959999,38.119999,37.737450,90600
2021-06-17,38.099998,38.410000,37.540001,37.680000,37.301872,68300
2021-06-18,37.230000,37.250000,36.770000,37.000000,36.628693,139600
2021-06-21,37.340000,37.480000,36.910000,37.400002,37.024681,77200
2021-06-22,37.250000,37.570000,36.830002,36.889999,36.519798,110000
2021-06-23,37.009998,37.009998,36.369999,36.480000,36.113911,129000
2021-06-24,36.619999,37.410000,36.419998,37.310001,36.935585,57400
2021-06-25,37.150002,37.619999,36.799999,36.799999,36.430702,345800
2021-06-28,36.669998,36.910000,36.049999,36.869999,36.500000,114700
2021-06-29,36.840000,37.240002,36.709999,36.779999,36.410900,96500
2021-06-30,36.599998,37.369999,36.529999,36.970001,36.598995,79700
